Year,publications_count,review_publications_count,Term,general_publication,norm_publications_count,norm_review_publications_count
1920,3,0,Active structure,5130,58.47953,0
1920,4,0,Biometrics,5130,77.97271,0
1920,15,0,Electrothermal-chemical technology,5130,292.39766,0
1920,5,0,Epidemiology,5130,97.46589,0
1920,2,0,Force field,5130,38.98635,0
1920,1,0,Hibernation,5130,19.49318,0
1920,1,0,Ion-propelled aircraft,5130,19.49318,0
1920,1,0,Regenerative medicine,5130,19.49318,0
1920,1,0,Volumetric,5130,19.49318,0
1920,34,0,aquaphonic agriculture,5130,662.76803,0
1920,1,0,basal ganglia,5130,19.49318,0
1920,28,0,cancer,5130,545.80897,0
1920,1,0,cocaine,5130,19.49318,0
1920,5,0,epinephrine,5130,97.46589,0
1920,26,0,eugenics,5130,506.82261,0
1920,1,0,glycine,5130,19.49318,0
1920,3,0,inflammatory,5130,58.47953,0
1920,33,0,influenza,5130,643.27485,0
1920,1,0,lithium,5130,19.49318,0
1920,9,0,mouse,5130,175.4386,0
1920,2,0,natural medicine,5130,38.98635,0
1920,1,0,paleocortex,5130,19.49318,0
1920,9,0,pituitary gland,5130,175.4386,0
1920,1,0,race,5130,19.49318,0
1920,3,0,single cell,5130,58.47953,0
1920,3,0,sleep,5130,58.47953,0
1920,23,0,vaccine,5130,448.34308,0
1920,4,0,viruses,5130,77.97271,0
1921,5,0,Active structure,4776,104.69012,0
1921,1,0,Artificial uterus,4776,20.93802,0
1921,1,0,Biometrics,4776,20.93802,0
1921,14,0,Electrothermal-chemical technology,4776,293.13233,0
1921,8,0,Epidemiology,4776,167.50419,0
1921,2,0,Force field,4776,41.87605,0
1921,3,0,Histamine,4776,62.81407,0
1921,1,0,Ion-propelled aircraft,4776,20.93802,0
1921,1,0,Life extension,4776,20.93802,0
1921,1,0,Medulla oblongata,4776,20.93802,0
1921,1,0,Volumetric,4776,20.93802,0
1921,32,0,aquaphonic agriculture,4776,670.01675,0
1921,1,0,basal ganglia,4776,20.93802,0
1921,31,0,cancer,4776,649.07873,0
1921,3,0,cholesterol,4776,62.81407,0
1921,1,0,coral,4776,20.93802,0
1921,2,0,display,4776,41.87605,0
1921,5,0,epinephrine,4776,104.69012,0
1921,22,0,eugenics,4776,460.63652,0
1921,1,0,glycine,4776,20.93802,0
1921,22,0,influenza,4776,460.63652,0
1921,1,0,lithium,4776,20.93802,0
1921,11,0,mouse,4776,230.31826,0
1921,1,0,natural medicine,4776,20.93802,0
1921,2,0,parkinson,4776,41.87605,0
1921,4,0,race,4776,83.75209,0
1921,3,0,single cell,4776,62.81407,0
1921,4,0,sleep,4776,83.75209,0
1921,17,0,vaccine,4776,355.9464,0
1921,9,0,viruses,4776,188.44221,0
1921,1,0,vitamin C,4776,20.93802,0
1922,1,0,Active structure,4264,23.45216,0
1922,4,0,Biometrics,4264,93.80863,0
1922,9,0,Electrothermal-chemical technology,4264,211.06942,0
1922,6,0,Epidemiology,4264,140.71295,0
1922,1,0,Force field,4264,23.45216,0
1922,1,0,Hibernation,4264,23.45216,0
1922,1,0,Histamine,4264,23.45216,0
1922,2,0,Life extension,4264,46.90432,0
1922,1,0,Nantenna,4264,23.45216,0
1922,1,0,Synthetic media,4264,23.45216,0
1922,1,0,Time crystal,4264,23.45216,0
1922,37,0,aquaphonic agriculture,4264,867.72983,0
1922,38,0,cancer,4264,891.18199,0
1922,1,0,cerebellum,4264,23.45216,0
1922,1,0,cholesterol,4264,23.45216,0
1922,1,0,cocaine,4264,23.45216,0
1922,1,0,coral,4264,23.45216,0
1922,4,0,epinephrine,4264,93.80863,0
1922,23,0,eugenics,4264,539.39962,0
1922,2,0,glycine,4264,46.90432,0
1922,1,0,inflammatory,4264,23.45216,0
1922,16,0,influenza,4264,375.23452,0
1922,2,0,lithium,4264,46.90432,0
1922,16,0,mouse,4264,375.23452,0
1922,1,0,natural medicine,4264,23.45216,0
1922,3,0,parkinson,4264,70.35647,0
1922,1,0,pineal gland,4264,23.45216,0
1922,5,0,pituitary gland,4264,117.26079,0
1922,3,0,race,4264,70.35647,0
1922,4,0,single cell,4264,93.80863,0
1922,2,0,sleep,4264,46.90432,0
1922,17,0,vaccine,4264,398.68668,0
1922,10,0,viruses,4264,234.52158,0
1922,1,0,vitamin D,4264,23.45216,0
1923,3,0,Active structure,4579,65.51649,0
1923,2,0,Body implant,4579,43.67766,0
1923,12,0,Electrothermal-chemical technology,4579,262.06595,0
1923,7,0,Epidemiology,4579,152.87181,0
1923,1,0,Graphene,4579,21.83883,0
1923,4,0,Histamine,4579,87.35532,0
1923,1,0,Ion-propelled aircraft,4579,21.83883,0
1923,1,0,Mononucleosis,4579,21.83883,0
1923,1,0,Synthetic media,4579,21.83883,0
1923,1,0,Time crystal,4579,21.83883,0
1923,30,0,aquaphonic agriculture,4579,655.16488,0
1923,42,0,cancer,4579,917.23084,0
1923,1,0,cerebellum,4579,21.83883,0
1923,1,0,cholesterol,4579,21.83883,0
