Year,publications_count,review_publications_count,Term,general_publication,norm_publications_count,norm_review_publications_count
1966,3.0,0.0,Molecular electronics,27006.0,11.108642523883582,0.0
1967,9.0,0.0,Molecular electronics,32598.0,27.60905577029266,0.0
1968,3.0,0.0,Molecular electronics,36388.0,8.244476200945366,0.0
1969,5.0,0.0,Molecular electronics,39956.0,12.513765141655822,0.0
1970,11.0,0.0,Molecular electronics,42052.0,26.158089983829544,0.0
1971,8.0,0.0,Molecular electronics,45217.0,17.69246080014154,0.0
1972,7.0,0.0,Molecular electronics,48950.0,14.300306435137896,0.0
1973,16.0,0.0,Molecular electronics,52179.0,30.663676958163247,0.0
1974,19.0,0.0,Molecular electronics,55868.0,34.00873487506264,0.0
1975,41.0,0.0,Molecular electronics,56626.0,72.4049023416805,0.0
1976,34.0,0.0,Molecular electronics,56882.0,59.77286312014345,0.0
1977,24.0,1.0,Molecular electronics,57988.0,41.387873353107544,1.7244947230461474
1978,42.0,0.0,Molecular electronics,60713.0,69.17793553275246,0.0
1979,24.0,0.0,Molecular electronics,64078.0,37.45435250788102,0.0
1980,29.0,0.0,Molecular electronics,65542.0,44.24643739891978,0.0
1981,24.0,1.0,Molecular electronics,67283.0,35.670228735341766,1.48625953063924
1982,22.0,0.0,Molecular electronics,71950.0,30.576789437109106,0.0
1983,26.0,0.0,Molecular electronics,75288.0,34.53405589204123,0.0
1984,31.0,0.0,Molecular electronics,78182.0,39.65107057890563,0.0
1985,42.0,0.0,Molecular electronics,80753.0,52.01045162408827,0.0
1986,36.0,0.0,Molecular electronics,82999.0,43.374016554416315,0.0
1987,46.0,0.0,Molecular electronics,86514.0,53.17058510761264,0.0
1988,70.0,0.0,Molecular electronics,93174.0,75.12825466331809,0.0
1989,105.0,1.0,Molecular electronics,100244.0,104.74442360640039,0.997565939108575
1990,116.0,0.0,Molecular electronics,105519.0,109.932808309404,0.0
1991,143.0,0.0,Molecular electronics,105693.0,135.29751260726823,0.0
1992,118.0,1.0,Molecular electronics,106730.0,110.55935538274149,0.93694368968425
1993,122.0,0.0,Molecular electronics,108658.0,112.27889340867675,0.0
1994,165.0,0.0,Molecular electronics,111832.0,147.54274268545677,0.0
1995,172.0,0.0,Molecular electronics,115112.0,149.41969560080616,0.0
1996,221.0,0.0,Molecular electronics,115939.0,190.6174798816619,0.0
1997,177.0,0.0,Molecular electronics,117129.0,151.1154368260636,0.0
1998,226.0,4.0,Molecular electronics,119923.0,188.45425814897894,3.3354735955571497
1999,238.0,4.0,Molecular electronics,122451.0,194.3634596695821,3.266612767556002
2000,413.0,2.0,Molecular electronics,130806.0,315.73475222849106,1.5289818509854287
2001,514.0,2.0,Molecular electronics,138691.0,370.6080423387242,1.4420546394502887
2002,653.0,7.0,Molecular electronics,146196.0,446.6606473501327,4.788092697474624
2003,777.0,3.0,Molecular electronics,154765.0,502.05149743158984,1.9384227700061385
2004,1076.0,6.0,Molecular electronics,160137.0,671.9246645060167,3.7467918095131045
2005,1666.0,4.0,Molecular electronics,170885.0,974.9246569330251,2.3407554788307925
2006,2183.0,7.0,Molecular electronics,180671.0,1208.273602293672,3.874445815875265
2007,2468.0,15.0,Molecular electronics,188551.0,1308.9296795031582,7.955407290335241
2008,2559.0,13.0,Molecular electronics,196269.0,1303.822814606484,6.6235625595483745
